@relation js_obfuscation
@attribute ngrams STRING
@attribute class {malicious,benign,obfuscated}
@data
"KAL_ LOKA OKAL _LOK 0_P1 1_CA ACK_ ALLB AL_G AL__ ATH_ BACK CALL CTIO ETLO FUNC GETL ION_ LBAC LLBA L_GE L__P NCTI P0_P P1_C PATH TION TLOK UNCT _CAL _DWR _FUN _GET _P0_ _P1_ _PAT __PA AL_F AL_L AL_P CK_D CUTE DWRE DWR_ ECUT ENGI EXEC E_LO E__E GINE",benign
"_NO_ HELP ITEM TEM_ _ITE _HEL DOW_ INDO NDOW WIND AR_N BAR_ ION_ LBAR NO_S R_NO S_NO TID_ TION YES_ _IF_ _TID _YES ATIO CATI ELPW ELP_ LOCA LPWI OCAT PWIN _LOC OPEN _OPE 00_W 0_TO 0_WI 400_ 450_ 50_T ABLE ANEW ARAM ARS_ ATUS BARS BLE_ CONF CROL CTOR",benign
"HIS_ THIS _THI _OBJ OBJ_ TION ION_ _IF_ ITEM FUNC CTIO _FUN NCTI UNCT STYL TYLE YLE_ TEM_ _ITE _STY _FX_ CLAS LASS VAR_ _VAR _RET ETUR RETU TURN URN_ NULL ULL_ _NUL AME_ NAME LSE_ _GET ASS_ ENT_ ELEC LECT SELE E_TH IF_T D_OB GET_ E_IF F_TH STEP ON_O",benign
"CLIC ICK_ LICK _CLI MAP_ CK_M K_MA _MAP _IF_ _LN_ ENT_ NODE VAR_ _VAR EXT_ TEXT AME_ IF_P LTEX NAME REF_ _LTE EVEN FORM F_P_ HREF NEW_ VENT _NEW AGE_ IMAG ION_ MAGE TION _NOD AP_I DENA ENAM ODEN ORM_ _IMA AP_U ATH_ CTIO LSE_ MENT ME_F PATH _FOR _GET",benign
"GHM_ _GHM _IF_ _LN_ ENT_ NODE EXT_ TEXT AME_ IF_P LTEX NAME REF_ VAR_ _LTE _VAR EVEN FORM F_P_ HREF VENT AGE_ IMAG ION_ MAGE TION _NOD DENA ENAM NEW_ ODEN ORM_ _IMA _NEW ATH_ CTIO HM_I HM_U LSE_ MENT ME_F PATH _GET _HRE _PAT _SUB BSTR ELSE FFOR M_IM",benign
"OBJ_ MENT ENT_ _IF_ _OBJ CUME DOCU OCUM UMEN _DOC _MM_ BJ_S J_ST STYL TYLE YLE_ _STY INDO _FUN DOBJ FIND ION_ NDOB _FIN _X_D BYID ELEM EMEN ENTB ETEL GETE LEME NTBY TBYI TELE TION VAR_ X_D_ YID_ _GET _VAR AYER CTIO DTH_ ELOA ERS_ E_WI FUNC GTH_ HEIG",benign
"HIS_ THIS _THI TION ION_ _EL_ _FX_ CTIO FUNC NCTI UNCT _FUN IS_E S_EL IONS ONS_ OPTI PTIO TIME ITY_ _OPT ASE_ ACIT CITY CREA EL_S E_FU E_TH IS_N IS_T L_ST NOW_ OPAC PACI POS_ STYL S_NO S_OP TYLE YLE_ _IF_ _NOW _PRO _STY BJEC ECT_ JECT OBJE OTOT OTYP",benign
"THIS HIS_ _THI TION ENT_ ION_ MENT CTIO FUNC NCTI UNCT _FUN ETUR RETU TURN _RET URN_ EMEN LEME ELEM EVEN VENT VAR_ _VAR IONS ONS_ OPTI PTIO _IF_ _ELE _OPT N_TH ENTS NTS_ IS_O _EL_ S_OP _EVE _PRO TYPE PROP YPE_ E_TH RN_T T_TH _GET _TYP IS_E OPER S_TH",benign
"_THI THIS TION HIS_ MENT ENT_ _THE THE_ ION_ EMEN LEME ELEM CTIO FUNC NCTI UNCT _FUN _ELE _RET ETUR RETU TURN ENTS NTS_ _TO_ _PRO PROP OPTI PTIO ONS_ IONS _OPT EVEN VENT OPER URN_ PERT ROPE _IF_ N_TH _VAR VAR_ S_TH UMEN ERTY RTY_ _EVE _ARG LASS CLAS",benign
"MENT CUME DOCU ENT_ NT_W OCUM RITE T_WR UMEN WRIT _WRI _DOC MULT ULTI _MUL ELN_ ITEL TELN BANK DLA_ IBAN LTIB TIBA _DLA A_DO 0_DL 80_D ANK_ A_HR EF_H F_HT HREF HTTP K_PL L_80 NK_P PL_8 P_WW REF_ TP_W TTP_ WWW_ WW_M W_MU _80_ _A_D _A_H _HRE _HTT _PL_",benign
"UTMX _UTM VAR_ _VAR ION_ IPT_ RIPT TION X_XX _XX_ ASH_ BSTR CTIO C_IN C_RI DEXO ENGT EXOF FUNC F_I_ F_N_ F___ GTH_ HASH HTTP INDE LENG MXX_ MX_X NCTI NDEX NGTH N_C_ N_IF SC_R SUBS TMXX TMX_ UBST UNCT XOF_ XX_X X_F_ X_UT X_X_ _C_I _FUN _F__ _HTT _IF_",benign
"_MM_ MENT ENT_ UMEN CUME DOCU OCUM _DOC _IF_ R_I_ SRC_ ENGT GTH_ LENG MM_P NGTH _FOR _LEN A_I_ IMAG I_X_ MAGE MM_S _A_I _I_X _X_D CTIO D_MM FOR_ FUNC INDO ION_ I_0_ M_P_ NCTI N_MM ON_M OR_I TION UNCT VAR_ _D_M _I_0 _VAR 0_VA C_X_ F_X_ IF_X OSRC RC_X",benign
"_MM_ MENT ENT_ UMEN CUME DOCU OCUM _DOC _IF_ R_I_ SRC_ ENGT GTH_ LENG MM_P NGTH _FOR _LEN A_I_ IMAG I_X_ MAGE MM_S _A_I _I_X _X_D CTIO D_MM FOR_ FUNC INDO ION_ I_0_ M_P_ NCTI N_MM ON_M OR_I TION UNCT VAR_ _D_M _FUN _I_0 _VAR 0_VA C_X_ F_X_ IF_X OSRC",benign
"_SCR APE_ CAPE CRIP ESCA IPT_ NESC PE_3 RIPT SCAP SCRI UNES _UNE 3C_S ADOC ATIO CATI CEAN COL_ CREE C_SC DOCE EAN_ EEN_ E_3C E_3E ION_ LOCA N_PR OCAT OCEA OCOL OL_S ON_P OTOC PROT PT_U REEN ROTO SCRE TION TOCO T_UN _200 _3C_ _3E_ _ADO _AD_ _ID_ _LOC",benign
"GLE_ GOOG OGLE OOGL _GOO E_AD FFFF LE_A _AD_ COLO E_CO LE_C LOR_ OLOR _COL 5454 AD_C EXT_ FFF_ FF_G F_GO OR_B TEXT _468 _FFF _TEX 006_ 0327 06_1 0760 095B 0973 0_AS 0_GO 1158 12_2 1586 2006 23_L 2786 2909 2_23 3115 3278 3290 33_G 3_GO 3_LO 4545 454_",benign
"GIN_ LOGI OGIN _LOG INI_ I_LO MINI NI_L _MIN INPU NPUT _INP MENT VAR_ _IF_ _VAR ETUR LOAD NLOA OAD_ ONLO PUT_ RETU TURN URN_ _ONL _RET CTIO FUNC ION_ NCTI TION UNCT _FUN ELEM EMEN ENT_ ESS_ ETEL EYPR E_IF GETE KEYP LEME NKEY ONKE PRES RESS TELE YPRE",benign
"ENT_ MENT ADER DER_ EADE HEAD _HEA CREA EATE NT_C REAT _CRE APPE BOX_ CHIL DCHI ENDC HILD ILD_ NDCH PEND PPEN _APP CUME DOCU OCUM T_CR UMEN _BOX _DOC AME_ ASSN ATEE CLAS EELE ELEM EMEN LASS LEME NAME SNAM SSNA TEEL _CLA VAR_ _VAR INNE NER_ NNER _INN",benign
"INDO NDOW WIND _WIN FEAT S_0_ AME_ AR_0 BAR_ DOWN DOWU EAT_ ION_ LBAR L_WI NAME N_WI OWNA OWUR RL_W R_0_ TION URL_ WNAM WURL _0_S _FEA 00_T 0_DI 0_HE 0_LO 0_ME 0_RE 0_SC 0_ST 0_TO 10_H 1_RE 500_ 510_ ABLE ARS_ AR_F ATIO ATUR ATUS AT_W BARS BLE_ BUG_",benign
"_X0A _X3C X3C_ BSP_ DIV_ NBSP STYL TYLE YLE_ _NBS D_X3 END_ MAIN ND_X PEND _MAI 0ACL 0_X0 3C_S ACLA AN_X ASS_ CLAS DTH_ IDTH IV_X LASS NET_ ONET PAN_ SPAN WIDT X0AC X0AS X0A_ X3CS _ONE 0AAL 3CDI 3C_D 5PX_ AIN2 A_X3 CDIV C_DI EAM_ EPEN ET_S EXT_ E_TE",benign
"GODA OGOD POGO _POG W_PO AARR ARR_ DAAR NEW_ ODAA ODA_ _NEW EW_P RR_1 _100 2_10 _12_ _2_1 A_5_ DA_5 3_NE A_4_ DA_4 HIS_ N_PO THIS _THI 000_ 1000 4_2_ 5_NE E_PO _32_ _4_2 005_ 008_ 00_1 05_1 0_12 0_NE 1005 1008 4_10 5_2_ 8_12 AX_T AZWA A_2_ A_PO CISN",benign
"_MM_ MENT ENT_ UMEN CUME DOCU ION_ OCUM TION _DOC SRC_ _IF_ CTIO FUNC NCTI R_I_ UNCT ENGT GTH_ IMAG LENG MAGE MM_P NGTH _FOR _FUN _LEN A_I_ I_X_ LINK MM_S NEW_ VAR_ _A_I _I_X _LIN _NEW _VAR _X_D D_MM FOR_ INDO I_0_ M_P_ OR_I _D_M _I_0 _SRC _WIN 0_VA",benign
"_2F_ HTTP TTP_ 2F_2 3A_2 A_2F B_PL CLIC F_2F LICK L_2F PB_P PL_2 P_3A TP_3 _3A_ _PB_ _PL_ 0FB6 1621 1941 2194 24_4 2E6_ 41_2 4ACB 4_4A 6219 6F16 6_0F 724_ 89D9 941_ 99F9 9D99 9F9_ 9_D7 A2E6 ACB_ ANNE B6F1 BANN B_A2 C89D CB_A D724 D99F E6_0 F162 F9_D",benign
"ASPX CLIC LICK PX_3 SPX_ X_3F _ASP 044_ 0476 0_D9 1047 44_7 476C 4B6B 4_76 5EDF 6104 6796 6B_B 6CC_ 6_4B 7679 76CC 7961 80_D 9610 9D6_ ANNE ARCH B044 B6B_ B80_ BANN BB80 B_B0 CC_2 D6_4 D9D6 DFBB EDFB FBB8 HTTP ICK_ NERC NNER RCHI TTP_ _4B6 _767 _B04",benign
"_IF_ GHM_ _GHM NODE VAR_ _VAR _NOD C_0X EXT_ NAME ODE_ REF_ TEXT _C_0 _HEX HREF LSE_ ELSE _ELS _STR _SRC SRC_ _ALL AME_ HEX_ F_P_ ION_ TION _GET ENT_ CTIO E_IF STR_ MENT _RET ALLI ALUE FORM IF_P IMAG LUE_ MAGE VALU 0_C_ IF_C LTEX MHRE S_I_ APE_ CHAR",benign
"MENU _MM_ _MEN ENU_ 0716 7161 MM_M M_ME NU_0 U_07 _071 0000 1612 ION_ TION DMEN ITEM _ADD ADDM ATIO CATI DDME ENUI FFFF LOCA NUIT OCAT TEM_ UITE _LOC RUE_ TRUE _TRU IMG_ _IMG 000_ BSP_ NBSP _NBS BGCO COLO E_TR GCOL LOR_ OLOR _000 1147 1474 1611 45_0",benign
"_SCR APE_ CAPE CRIP ESCA IPT_ NESC PE_3 RIPT SCAP SCRI UNES _UNE 3C_S ATIO CATI COL_ CREE C_SC EEN_ E_3C E_3E IDG_ ION_ LOCA N_PR OCAT OCOL OL_S ON_P OTOC PROT PT_U REEN ROTO SCRE TION TOCO T_UN _3C_ _3E_ _IDG _ID_ _LOC _PRO 01IZ 0OYI 0_4_ 1IZ_ 1_ID",benign
"MENT CLAS IMAG LASS MAGE _IMA ELEM EMEN ENT_ LEME AGE_ ENTS UMEN CUME DOCU OCUM SRC_ VAR_ _DOC _SRC _VAR CTIO ION_ TION _IF_ NEW_ OUT_ OVER VER_ _NEW ASS_ S_I_ _OUT _OVE C_G_ ENU_ EW_I GIF_ G_PL L_ME MENU NTS_ PL_M RC_G W_IM _CLA _GIF _G_P _MEN _PL_",benign
"MSFP _MSF FPNA PNAV SFPN F_MS IF_M SRC_ _SRC OVER VER_ 010_ 0_VB 10_V BLEN BTN_ CMP_ CRIP DERI DS01 ENDS ERIV GIF_ IPT_ IVED LEND MP_B NDS0 P_BL RIPT RIVE S010 SCRI VBTN VED_ _BLE _CMP _DER _GIF _VBT __DE FPHO HOVE HTM_ NAV1 NAV2 PHOV SFPH _HTM _IF_",benign
"CRIP GINS INS_ IPTS JS_S LUGI NS_J PLUG PTS_ RIPT SCRI S_JS S_SC UGIN _JS_ _PLU _SCR",benign
"FLAS LASH _FLA AREN ASHO BJEC HOBJ JECT OBJE PARE RENT SHOB D_FL ECT_ ENT_ ID_F SWF_ _PAR _SWF 0_HE 1_PA 223_ 23_P 3_PA 70_H 970_ ABRI ADER ALIG AL_F AME_ AMS_ ANSP ARAM ARS_ ASHH ASHP ASHV ASSN ATA_ ATEF A_CR BENG BRIQ CDAT CLAS CREA CT1_ CT_I CT_R",benign
"EMIU GEMI IUS_ MIUS _GEM _PP_ PP_G P_GE US_I DOW_ INDO NDOW WIND _WIN OW_P W_PP S_ID _IF_ DENT ENTI FIER IDEN IER_ IFIE IMAG MAGE NTIF TIFI _IDE _IMA CRIP ENT_ IPT_ LOAD RIPT SCRI S_IM REF_ _REF VAR_ _VAR AGE_ NEW_ OBJ_ TYPE _NEW _OBJ _SCR _TYP EOF_",benign
"ENT_ MENT EMEN ELEM LEME _ELE TION ION_ HIS_ THIS _THI CTIO FUNC NCTI UNCT _FUN ETUR RETU TURN _RET URN_ VALU ALUE _VAL LUE_ _IF_ VAR_ _VAR N_EL NAME ECT_ T_EL AME_ NT_E ON_E TYPE _RES _FOR TOR_ JECT _PRO ENTS T_RE E_FU YPE_ ONS_ _OBJ E_EL E_RE IONS",benign
"MENT ELEM EMEN LEME ENT_ _ELE ION_ TION FUNC _FUN CLAS CTIO LASS NCTI UNCT AME_ NAME ASSN SNAM SSNA T_EL ETUR RETU TURN URN_ _RET TYPE VAR_ _CLA _PRO _VAR ENTS N_EL YPE_ NT_E ARRA E_EL NTS_ OTOT OTYP PROT RAY_ ROTO RRAY TOTY _IF_ NT_C E_FU NODE ON_E",benign
"CRIP IPT_ RIPT SCRI _X26 26S_ X26S INT_ PRIN REGI RINT S_C_ _PRI _REG _X3C 6S_C EGID GID_ TYPE URL_ _TYP _U2_ _UK_ _URL 3CSC 3C_S 6S_A AR_U ASCR AVAS A_RE CSCR CUME C_EN C_PR C_SC C_SE DEFE DOCU EC_E EFER ENTE ENT_ ERPR EXT_ E_TE E_X2 E_X3 FER_ HTTP",benign
"CUME DOCU ENT_ ITE_ MENT NT_W OCUM RITE T_WR UMEN WRIT _DOC _WRI ION_ TION OPTI PTIO _OPT ALUE LUE_ TE_T VALU _VAL E_OP N_DO N_VA ON_D ON_V TE_O _TD_ E_TD ELEC E_TR LECT R_DO SELE TR_D _SEL _TR_ ALIG D_DO IGN_ LIGN TD_D _ALI AME_ ECT_ NAME _NAM E_SE",benign
"ADIO DIO_ RADI _RAD ECT_ _TV_ NTER TER_ TION ION_ COUN OUNT UNTE _COU IDE_ BUTT TON_ TTON UTTO _BUT ON_S ACTI CTIV EFFE ER_R FECT FFEC IVE_ R_RA TIVE _ACT _EFF ATIO BJEC CT_G DURA GUID JECT N_0_ OBJE ON_0 RATI T_GU UIDE URAT _DUR _GUI _OBJ _IF_ ER_T",benign
"BANN NNER ANNE NER_ _BAN ADDB DBAN DDBA _ADD T_BA GIF_ _GIF 00X5 0X50 400X X50_ _400 _PL_ HTTP RT_B TTP_ _HTT _RT_ ER_H R_HT WWW_ _LW_ _WWW ER_L L_BA MENT PL_B P_WW R_BA R_LW TP_W 0_GI 50_G ANER AR_B BANE CT_B ENT_ ERS_ ERY_ E_AD NERS NERY W_MO _AR_",benign
"VAR_ _VAR NUM_ _TAB DISP _IF_ _NUM ENT_ TEMP _TEM GGLE ION_ MENT OGGL STYL TION TOGG TYLE YLE_ _STY _TOG ABCO ANIM ATE_ BCON CONT E_DI IMAT ISPL LAY_ LE_D MATE NIMA NTEN ONTE PLAY SPLA TABC TENT _ANI _DIS ABHE ADER AY_N BHEA EADE ELEM EMPC F_AN HEAD",benign
"_IF_ N_S_ S_WD _S_W ION_ TION _WD_ VAR_ ETUR RETU TURN URN_ _RET _VAR CTIO F_S_ _FUN ON_S FUNC NCTI UNCT E_S_ _UN_ IF_S ING_ RING STRI TRIN _S_G D_S_ INDE NDEX _COM SUBS _S_S DEXO EXOF XOF_ _SUB BSTR COM_ S_S_ UBST _IND _S_D _S_P R_S_ _S_C _S_A _S_V",benign
"CRIP RIPT SCRI THE_ _THE ION_ _SCR ACUL CULO TION IPT_ ARE_ FTWA HE_S OFTW SOFT TWAR WARE _OR_ _SOF CLUD CTIO E_SO INCL NCLU TYPE _INC _OF_ _TO_ MENT O_US _COP _IN_ ENT_ E_SC ING_ IPTA LOUS LO_U LUDE OUS_ PTAC TACU ULOU ULO_ _ACU _US_ AND_ COPY E_AN",benign
"VAR_ _VAR NAME AME_ LIST IST_ _LIS MENT _IF_ ION_ ASSN CLAS LASS SNAM SSNA TION ENT_ ELEM EMEN LEME CTIO ENTS FUNC NCTI UNCT _CLA _FUN QUES UEST HTTP ENGT EST_ GTH_ I_0_ LENG LSE_ NGTH _GET _I_0 _LEN ETEL GETE TELE _WIN EQUE REQU R_I_ R_VA AR_I FOR_",benign
"IPT_ _SCR CRIP CR_I RIPT R_IP SCRI SCR_ _IPT 2BUB 3_Q7 67QW 6CUO 7CCH 7QWP 7_SC 82BU 9Y6C ADHH ASCR ATE_ AT_P AVAS B9Y6 BFX6 BUB9 CCHX CHXK COIR CUME CUO3 C_HT DATE DHHJ DOCU D_ZP ELN_ ENT_ ETTI EW_D EXT_ E_GE E_HI E_SC E_TE FADH FX67 GETT HHJC HIT_",benign
"HIS_ THIS _THI ION_ _GET ATTR BUTE IBUT RIBU TRIB TTRI _IF_ ETAT TATT UTE_ _VAR CEPT CONC DECO ECON EPT_ NCEP ONCE _DEC TION BJEC JECT OBJE VAR_ ECT_ S_GE IS_G CTIO _SWF FUNC NCTI UNCT _FUN ETUR GETA RETU TURN URN_ _RET ERSI MENT RSIO SION VERS ENT_",benign
"0000 _SO_ FLAS LASH _FLA _SWF ADDP ARAM ASH_ DDPA DPAR ER_S FOOT OOTE OTER O_AD PARA RAM_ R_SW SO_A SWF_ TER_ _000 _ADD _FOO 0004 0006 0046 0062 0467 0628 0_11 115_ 15_7 1C82 28_1 2A_0 4675 50_1 550_ 5E72 5_7_ 628_ 675E 72A_ 75E7 7_SO 8_1C AM_F AM_W",benign
"FLAS LASH ASH_ BJEC ECT_ HOCK JECT OBJE SHOC _SHO _FLA CKWA KWAV OCKW WAVE AVEF EFLA VEFL CT_S ATEO CREA EATE EOBJ ISOB REAT SOBJ TEOB _CRE _ISO CTL_ CT_C H_SH I_FL SH_S SWCT T_CR WCTL _I_F _SWC T_SH V_FL _V_F ERSI IF_I ION_ I_SH L_SW RSIO SION TL_S",benign
"NODE WORD MENT _NOD ENT_ ODE_ VAR_ _IF_ _VAR _WOR ORDS ELEM AME_ NAME RDS_ EMEN LEME ABLE CUME DOCU ETUR FOR_ FUNC OCUM RETU TURN UMEN URN_ _DOC _FUN _RET ARCH EARC E_NO SEAR TEXT _FOR _PAR BLED ION_ LED_ ORD_ TION CTIO DE_N NCTI UNCT _ELE _GET ABEL",benign
"2_T_ 008_ _200 01_2 08_0 1_22 2008 8_01 _01_ _22_ 22_T _C_1 C_10 D_0_ S_0_ _D_0 _S_0 _100 T_0_ _T_0 _W_1 _Z_1 0_0_ 0_1_ 0_D_ IAST MIAS T_1_ _0_0 _0_1 _0_D _MIA _T_1 OID_ _OID 1_S_ ANE_ ASTO D_MI EXPI ID_M STO_ T_2_ Z_19 _19_ _1_S _EXP _T_2 0_W_ DANE",benign
"FFFF AR_B R_BB VAR_ _VAR BBT_ COLO LOR_ OLOR _BBT _COL FFF_ FF_V F_VA OR_F R_FF _FFF 00_V 0_VA 1_BB 4B00 54B0 B00_ BT_B BT_T D54B OR_D R_D5 T_BG T_CO _D54 01_V 0201 0302 0_BB 1966 1_31 1_VA 201_ 2_CO 3020 31_B 3_1_ 66_3 6_3_ 966_ AC_1 ANCH ATA_ ATH_",benign
"ENT_ _IF_ CUME DOCU MENT OCUM UMEN VAR_ _DOC _VAR IF__ AR__ _II_ __II ION_ TION BODY F__I HBX_ NT_B ODY_ T_BO _BOD _HBX ATOR AVIG CREE CTIO EEN_ GATO HUD_ IGAT NAVI ON__ REEN SCRE TOR_ VIGA _ER_ _HUD _NAV _SCR _SC_ __HU BNI_ ETUR EVAL FUNC NCTI NT_C",benign
"_IF_ _UTM __UT __UD VAR_ _VAR __UO ___U ETUR RETU TURN URN_ _RET F__U IF__ ION_ __UG TION NDEX DEXO EXOF INDE XOF_ __UE CTIO N__U _IND ING_ R__U _UGC __UB LSE_ S__U UES_ UGC_ RING STRI TRIN UBD_ _UBD UDH_ _UDH C__U ELSE _ELS _UES FUNC NCTI OKW_ OSR_",benign
"TION _IF_ ELEM MENT ION_ ENT_ VAR_ _FUN _VAR CTIO FUNC NCTI UNCT ITY_ ILIT LITY TYPE NAME TILI UTIL _UTI _GET LEM_ Y_DO AME_ UMEN DOM_ ETUR RETU TURN TY_D _RET URN_ _DOM _TYP CUME DOCU OCUM _ELE _EL_ _DOC LSE_ EMEN LEME _STR ELSE _ELS YPE_ _SCR CROL",benign
"_PWA _IF_ _ADV LSE_ F_PW IF_P E_PW PWAS PWAG ASS_ SE_P S_AD WASS SS_A ELSE PWAD WAD_ _ELS PWAK ION_ ADV1 TION WAK_ ADV0 ETUR E_EL NULL RETU TURN ULL_ URN_ _NUL _RET CTIO FUNC IF_N NCTI UNCT _FUN AGE_ NJB_ _NJB ALSE FALS L_IF WAGE _FAL _PB_ AK_0 BLOC",benign
"MAIN BXMA XMAI _BXM _DD_ TAB_ _IF_ ACTI DYNA CTIV _NEW TIVE _DYN TION _AX_ CTIO ION_ AMIC FUNC NAMI NCTI UNCT YNAM _FUN _ID_ LSE_ STAT VAR_ _VAR WIND _WIN ETAB AINT TABC INTA NTAB INDI NDIV CLIC LICK NEW_ D_BX IVET VETA AJAX DD_B _STA SZUK UKAJ ZUKA",benign
"_ODP DPOW ODPO OWIE POWI WIED _ANK ALSE ANKI ANK_ AZNA A_OD CHEC CUME DOCU ENT_ ETA_ ETUR FALS HECK IEDZ IETA KIET LSE_ MENT NACZ NKIE NT_A OCUM RETU RUE_ R_I_ TRUE TURN T_AN UMEN URN_ VAR_ ZAZN ZNAC _CHE _DOC _FAL _RET _TRU _VAR _ZAZ 0_I_ 3_I_ ACZE",benign
"LASS CLAS _CLA ASS_ DIV_ _DIV MENT _SPA PAN_ SPAN _TD_ HREF REF_ _HRE BSP_ NBSP _NBS ABLE ENT_ _A_H DEX_ INDE NDEX _BLO _LI_ EBOX IV_C LIST V_CL WPRO _WPR IST_ _LIS PROS ROST SS_L S_LI _KOM EF_A A_HR TER_ MINI TD_T _ICO AR_1 _MIN MOUS NMOU ONMO OUSE",benign
"MENT ENT_ CUME DOCU OCUM UMEN _DOC _OBJ _IF_ IGHT TION STYL TYLE YLE_ _STY ELEM EMEN ION_ LEME VAR_ _VAR _GET LSE_ OBJL LOAD TELE LAY_ GHTB HTBO LIGH TBOX FUNC _FUN ETEL GETE CTIO NCTI UNCT NT_G T_GE INDO NDOW WIND CROL IMAG MAGE ROLL SCRO ETUR RETU",benign
"_TD_ IMG_ _IMG MENU _MEN TD_T D_TD ALT_ C_IM GIF_ G_SR MG_S RC_I SRC_ _ALT _GIF _SRC ENU_ PHP_ _PHP HP_R AMP_ _AMP ASS_ A_TD CLAS F_AL HREF IF_A LASS REF_ _A_T _CLA _HRE D_IM EP_G G_ME LT_T MG_M NU_S P_GI SEP_ TD_I T_TD U_SE _SEP EF_P EN_P F_PH GEN_",benign
"_SLE CONT ENTI NTEN NTID ONTE TENT TID_ _CON LIDE SLID COUN NTER OUNT UNTE VAR_ _VAR EED_ PEED POS_ SPEE _SPE OBJ_ TER_ R_SL _COU ID_V D_VA AR_S V_CO _SLI _V_C LEFT TION _LEF CROL CTIO L_SL ROLL SCRO _IF_ AL_S EVAL VAL_ V_SP _EVA _TOP _V_S LE3_ RANS",benign
"_IF_ MENT ENT_ HIS_ THIS _THI _OBJ NODE AME_ NAME ELEM EMEN LEME CHIL HILD VAR_ _VAR ATA_ DATA _CHI AJAX XAJA TION OBJE XML_ CTIO DES_ DNOD E_IF ILDN LDNO ODES FUNC ION_ NCTI UNCT LSE_ _XAJ S_I_ _CMD _DAT TYPE _XML ING_ ALUE ELSE EVEN VALU VENT _ELS",benign
"EMIU GEMI IUS_ MIUS _GEM _PP_ PP_G P_GE US_I _IF_ DOW_ INDO NDOW WIND _WIN ENT_ CRIP IMAG IPT_ MAGE OW_P RIPT SCRI VAR_ W_PP _IMA _VAR MENT _XP_ REF_ S_IM _REF CUME DOCU OCUM S_ID UMEN _DOC _SCR DENT ENTI FIER IDEN IER_ IFIE NTIF TIFI TYPE US_P _IDE",benign
"0000 CRIP IPT_ RIPT SCRI ORD_ ASCR AVAS JAVA PT_S VASC _JAV _ORD _SCR 000_ 00_3 061A 0_3_ 1000 1AD_ 1_DC 299_ 399X 3_DO 4061 61AD 99X2 99_T 9X29 9_TI ADJ_ AD_D AGE_ ANDO ANGU ATH_ AULT BLEC CK_N CLIC COM_ COPT CUME C_HT DCOP DEFA DJ_C DOCU DOM_ DOUB",benign
"MENT ENT_ TION ION_ _VAR VAR_ CTIO HIS_ THIS _THI FUNC NCTI UNCT _IF_ _FUN ELEM EMEN _GET LEME _ID_ UMEN CUME DOCU OCUM _DOC CLAS LASS ETUR DIV_ AME_ NAME _RET RETU TURN URN_ TELE _VID ETEL GETE T_GE NT_G BYID ENTB NTBY TBYI YID_ ASS_ _IMG URL_ IDEO",benign
"_IF_ VAR_ _VAR URN_ TURN ETUR _RET ION_ RETU F_S_ _S_C TION R_S_ N_S_ ING_ _FUN IF_S _S_T FUNC UNCT CTIO NCTI _S_E XOF_ EXOF DEXO NDEX RING STRI S_S_ TRIN INDE S_C_ THIS _IND _THI E_S_ AR_S _S_A BSTR LSE_ _SUB SUBS UBST HIS_ _ELS ELSE E_IF S_TH DATE",benign
"CLIC LICK _CLI CKDE DENS ENSI ICKD KDEN NSIT SITY HIS_ THIS _THI ION_ ITY_ _IF_ LOAD TION IS_B MENT VAR_ _VAR ENT_ UMEN ADED COMM DED_ ITYC MMON MON_ OADE OMMO TYCO YCOM CTIO DOW_ FUNC HTTP INDO NCTI NDOW UNCT WIND _HTT _WIN _FUN CUME DOCU IF_T OCUM",benign
"_MEM C1_U CONT EMCO ENT_ MCON MEMC NTEN ONTE TENT MEM_ _UEC 22_U ACE_ EESP ENGT ESPA FREE GTH_ LENG NGTH PACE REES SPAC _FRE _LEN 1_U6 AUTH EAUT E_ME HORI ITEA ITY_ ORIT RITY SITE TEAU THOR UTHO _SIT _U66 _UCC _UD0 090_ 1_U4 1_UE 4A_U 9090 90_U A9_U",malicious
"VAR_ _VAR _IF_ ION_ _WIN CODE _XML TCH_ ATCH CATC CH_E CREA EATE ERSI E_IF H_E_ LSE_ REAT RSIO SION TRY_ VERS _0_0 _CAT _CRE _TRY ATEO NAME XML_ _EXE 0_0_ AME_ BJEC ECT_ ENAM ETUR JECT OBJE RETU SCOD TURN URN_ _GET _RET _SCO 000_ CUTE ECUT EXEC EXEN",malicious
"_U0B BLOC LOCK OCK_ 0B_U _U96 _U68 0B0B 96_U B0B_ U0B0 BIGB GBLO IGBL _BIG 02_U B_U5 CODE ODE_ _BLO 090_ 31_U 3B_U 6_U0 7B_U 7D_U 9090 90_U ACE_ ACKS B_U0 CKSP CK_B KSPA LACK PACE SLAC SPAC U909 _SLA _U77 _U90 07_U 0B3B 0E_U 0_U9 3_U0 3_U7 5902 6F_U",malicious
"_FTP FTPD TPD_ C_FT _C_F CHO_ ECHO _ECH _EXE ACKE AME_ ATTA CKER E_C_ NAME TACK TTAC _ATT ERSF KERS RSFT SFTP ABLE BAT_ BLEF CUTA D_BA D_EC ECUT EFIL ENAM EXEC FILE ILEN LEFI LENA PD_B PD_E TABL UTAB VAR_ XECU _BAT _C_E EXE_ ME_C _VAR 2OBJ 2_CM 32_C",malicious
